"stock_symbol","stock_market","stock_market_cap"
"BCLI","NASDAQ","82.81"
"MYGN","NASDAQ","1630"
"AGIO","NASDAQ","2500"
"INCY","NASDAQ","24170"
"PDCO","NASDAQ","4550"
"CARA","NASDAQ","556.53"
"EVHC","NYSE","6890"
"EDIT","NASDAQ","673.15"
"HLF","NYSE","6700"
"ARLZ","NASDAQ","79.48"
"SPNE","NASDAQ","116.58"
"AET","NYSE","49950"
"CRIS","NASDAQ","254.48"
"ALDX","NASDAQ","65.07"
"PDLI","NASDAQ","367.04"
"INNL","NASDAQ","888.93"
"GWPH","NASDAQ","2480"
"SRRA","NASDAQ","59.59"
"PMD","NASDAQ","118.92"
"PRTK","NASDAQ","618.42"
"ADHD","NASDAQ","30.87"
"ATRI","NASDAQ","1040"
"MMSI","NASDAQ","1760"
"FCSC","NASDAQ","45.41"
"ANAB","NASDAQ","480.79"
"NVAX","NASDAQ","310.88"
"JNP","NASDAQ","55.3"
"BCRX","NASDAQ","446.33"
"ATHX","NASDAQ","158.07"
"PRPH","NASDAQ","32.94"
"FGEN","NASDAQ","2080"
"ONCE","NASDAQ","1820"
"DPLO","NYSE","1210"
"KTWO","NASDAQ","967.38"
"PIRS","NASDAQ","184.33"
"IDRA","NASDAQ","237.15"
"ARWR","NASDAQ","118.89"
"RTRX","NASDAQ","690.93"
"VYGR","NASDAQ","263.7"
"MSA","NYSE","3160"
"ARAY","NASDAQ","361.05"
"FONR","NASDAQ","176.92"
"STE","NYSE","6960"
"NRCIA","NASDAQ","672.9"
"LXRX","NASDAQ","1770"
"HZNP","NASDAQ","1670"
"SPPI","NASDAQ","522.68"
"BYSI","NASDAQ","835.65"
"CYAD","NASDAQ","445"
"PRXL","NASDAQ","4240"
"TDOC","NYSE","1850"
"NBRV","NASDAQ","250.34"
"LAKE","NASDAQ","92.98"
"VCEL","NASDAQ","83.56"
"KERX","NASDAQ","631.28"
"NSTG","NASDAQ","379.12"
"SEM","NYSE","1880"
"AMED","NASDAQ","2120"
"ETRM","NASDAQ","33.43"
"INCR","NASDAQ","3230"
"FMS","NYSE","30330"
"GLYC","NASDAQ","396.21"
"KDMN","NYSE","142.06"
"ELGX","NASDAQ","385"
"EDAP","NASDAQ","105.14"
"NTLA","NASDAQ","443.51"
"ZYME","NYSE","240.93"
"INFI","NASDAQ","85.75"
"EXEL","NASDAQ","5630"
"AGLE","NASDAQ","47.08"
"GLMD","NASDAQ","84.21"
"CHRS","NASDAQ","761.63"
"AZN","NYSE","87460"
"AMRI","NASDAQ","929.63"
"SBBP","NASDAQ","146.64"
"ONVO","NASDAQ","272.97"
"MBOT","NASDAQ","54.29"
"HALO","NASDAQ","1900"
"CMRX","NASDAQ","234.19"
"CCXI","NASDAQ","351.67"
"OHRP","NASDAQ","33.73"
"XENT","NASDAQ","749.53"
"ANGO","NASDAQ","587.52"
"ZTS","NYSE","30700"
"KURA","NASDAQ","170.17"
"MESO","NASDAQ","654.76"
